crop_id,crop_type,soil_type,season,temperature_c,humidity_pct,rainfall_mm,nitrogen_ppm,phosphorus_ppm,potassium_ppm,disease_label,disease_severity,yield_kg_per_hectare,quality_score,is_diseased,npk_total,yield_category
19,Rice,Clay,Autumn,11.7,68.0,150.9,129.4,16.8,242.2,Healthy,0.0,4606.9,5.4,0,388.4,Medium
20,Rice,Sandy,Winter,13.6,87.9,73.9,93.2,51.5,133.8,Healthy,0.0,4628.3,7.92,0,278.5,Medium
21,Potato,Loamy,Summer,18.0,38.5,193.7,74.0,74.7,237.1,Powdery Mildew,0.94,11372.7,3.62,1,385.79999999999995,High
22,Potato,Sandy,Autumn,14.0,52.7,20.6,44.2,26.4,137.6,Rust,1.0,10463.7,5.4,1,208.2,High
23,Corn,Clay,Autumn,38.0,36.7,263.4,47.0,71.7,198.5,Rust,0.99,3628.1,4.06,1,317.2,Medium
24,Corn,Loamy,Winter,17.5,89.0,15.2,98.8,67.2,58.8,Rust,0.29,4632.8,6.09,1,224.8,Medium
25,Rice,Silty,Spring,13.4,91.4,207.3,30.9,7.7,123.8,Powdery Mildew,0.25,3979.3,7.18,1,162.4,Medium
26,Tomato,Clay,Autumn,16.3,46.2,30.8,119.2,71.3,131.3,Leaf Blight,0.14,27170.1,7.76,1,321.8,Very High
27,Rice,Sandy,Winter,10.7,77.9,99.7,140.3,65.2,222.8,Leaf Blight,0.88,3332.6,6.66,1,428.3,Medium
28,Corn,Clay,Winter,16.7,83.1,138.1,52.7,64.7,95.5,Leaf Blight,0.81,3280.9,3.87,1,212.9,Medium
29,Rice,Loamy,Autumn,29.2,56.0,294.3,85.1,75.4,73.1,Root Rot,0.4,4193.2,8.67,1,233.6,Medium
30,Rice,Clay,Winter,20.4,81.1,130.9,147.8,13.7,229.9,Rust,0.97,2560.2,4.22,1,391.4,Low
31,Wheat,Sandy,Autumn,22.9,91.7,276.2,97.2,54.8,74.9,Root Rot,0.1,3789.0,9.22,1,226.9,Medium
32,Potato,Loamy,Summer,15.8,73.2,113.7,114.7,18.1,163.8,Powdery Mildew,0.7,13649.1,5.55,1,296.6,High
33,Wheat,Loamy,Winter,23.3,73.9,153.4,121.1,77.0,197.2,Powdery Mildew,0.36,2933.0,7.4,1,395.29999999999995,Low
34,Corn,Clay,Summer,30.2,44.6,59.7,13.4,23.4,145.0,Rust,0.7,4101.7,7.31,1,181.8,Medium
35,Wheat,Sandy,Winter,24.8,45.9,196.8,10.8,61.3,204.0,Root Rot,0.47,2952.6,4.75,1,276.1,Low
36,Tomato,Silty,Spring,26.7,89.6,36.4,28.7,39.8,156.2,Leaf Blight,0.26,30573.0,7.19,1,224.7,Very High
37,Corn,Silty,Winter,36.9,78.3,142.4,46.3,23.5,177.5,Root Rot,0.65,4337.7,7.11,1,247.3,Medium
38,Potato,Clay,Autumn,17.0,51.8,267.9,21.3,16.3,126.6,Root Rot,0.66,13724.6,4.62,1,164.2,High
39,Rice,Loamy,Winter,22.5,43.4,126.0,136.7,48.8,189.1,Healthy,0.0,4385.1,9.28,0,374.6,Medium
40,Potato,Loamy,Winter,35.6,92.0,125.7,114.7,46.0,170.7,Root Rot,0.53,17853.3,5.13,1,331.4,High
41,Rice,Loamy,Winter,31.7,84.6,275.9,147.3,45.1,231.4,Powdery Mildew,0.49,3106.8,6.79,1,423.8,Medium
42,Wheat,Sandy,Winter,15.5,46.9,98.2,73.7,30.3,225.9,Healthy,0.0,3649.9,6.39,0,329.9,Medium
43,Tomato,Clay,Autumn,16.7,34.5,287.2,15.6,7.3,99.5,Powdery Mildew,0.85,19623.6,6.85,1,122.4,High
44,Potato,Clay,Summer,24.0,46.7,110.7,94.8,77.3,193.7,Leaf Blight,0.31,17381.0,8.06,1,365.79999999999995,High
45,Rice,Loamy,Winter,21.9,76.5,22.8,106.7,52.0,70.4,Powdery Mildew,0.2,3550.9,8.33,1,229.1,Medium
46,Potato,Clay,Autumn,26.0,73.0,20.7,100.7,5.9,134.0,Healthy,0.0,21777.4,7.45,0,240.60000000000002,Very High
47,Tomato,Sandy,Winter,15.3,63.9,195.1,96.2,74.0,204.9,Powdery Mildew,0.67,24125.5,5.85,1,375.1,Very High
48,Potato,Clay,Autumn,36.4,45.9,139.4,95.4,33.4,55.7,Powdery Mildew,0.39,15591.2,8.17,1,184.5,High
49,Rice,Loamy,Autumn,36.4,75.6,82.9,11.4,76.1,67.1,Root Rot,0.29,4333.4,7.85,1,154.6,Medium
50,Tomato,Silty,Winter,33.8,36.0,66.5,106.9,28.0,166.3,Rust,0.78,21820.3,5.64,1,301.20000000000005,Very High
51,Potato,Loamy,Autumn,31.1,47.6,75.4,26.9,19.4,73.9,Powdery Mildew,0.48,17352.3,6.57,1,120.2,High
52,Rice,Loamy,Spring,35.0,49.3,108.3,52.3,58.1,75.3,Leaf Blight,0.29,3959.1,4.77,1,185.7,Medium
53,Wheat,Silty,Spring,36.2,67.3,140.8,71.7,18.8,60.3,Rust,0.36,3395.1,8.66,1,150.8,Medium
54,Tomato,Silty,Winter,12.2,70.9,16.1,30.9,47.2,110.8,Healthy,0.0,32899.0,9.97,0,188.89999999999998,Very High
55,Wheat,Sandy,Winter,23.5,58.8,258.0,148.6,27.9,174.2,Rust,0.79,2470.4,6.14,1,350.7,Low
56,Wheat,Clay,Summer,17.2,65.9,47.0,67.2,56.7,144.0,Leaf Blight,0.66,2394.1,4.14,1,267.9,Low
57,Corn,Sandy,Autumn,33.6,70.6,198.4,140.7,36.9,158.9,Powdery Mildew,0.73,3840.3,6.43,1,336.5,Medium
58,Corn,Loamy,Autumn,23.2,60.5,91.2,66.4,25.4,158.0,Leaf Blight,0.16,4632.1,6.84,1,249.8,Medium
59,Potato,Loamy,Autumn,10.8,44.9,202.3,130.5,49.0,54.1,Healthy,0.0,22336.5,8.82,0,233.6,Very High
60,Corn,Silty,Winter,37.5,41.8,175.6,98.9,41.9,68.2,Rust,0.14,5591.2,6.46,1,209.0,Medium
61,Corn,Loamy,Winter,30.8,48.7,283.6,123.9,46.3,141.0,Powdery Mildew,0.7,4385.0,5.19,1,311.2,Medium
62,Corn,Silty,Spring,29.7,65.3,124.0,36.3,32.1,201.3,Healthy,0.0,6275.8,8.13,0,269.70000000000005,Medium
63,Wheat,Loamy,Winter,36.4,61.5,8.7,98.2,64.9,192.0,Leaf Blight,0.34,2689.3,5.89,1,355.1,Low
64,Wheat,Clay,Winter,38.4,72.1,46.2,140.6,26.9,191.1,Rust,0.47,2607.3,6.08,1,358.6,Low
65,Tomato,Silty,Summer,37.7,63.0,263.8,131.0,25.7,208.0,Root Rot,0.32,26562.3,6.4,1,364.7,Very High
66,Potato,Loamy,Winter,36.0,59.0,145.3,56.5,62.2,125.4,Powdery Mildew,0.84,12414.8,7.23,1,244.10000000000002,High
67,Rice,Silty,Spring,19.5,60.7,274.0,63.4,79.1,208.5,Leaf Blight,0.61,3130.1,6.75,1,351.0,Medium
68,Rice,Loamy,Spring,36.2,58.6,157.8,74.0,59.2,132.0,Root Rot,0.97,2445.2,5.87,1,265.2,Low
69,Rice,Loamy,Autumn,28.7,55.8,24.1,56.0,55.6,156.7,Healthy,0.0,4458.8,9.77,0,268.29999999999995,Medium
70,Tomato,Loamy,Summer,32.4,58.2,29.5,98.7,70.4,138.7,Rust,0.13,24757.8,8.14,1,307.8,Very High
71,Wheat,Clay,Autumn,20.8,58.0,73.3,67.7,56.1,86.0,Healthy,0.0,3315.6,5.88,0,209.8,Medium
72,Potato,Sandy,Summer,23.8,46.5,76.6,11.3,65.3,230.2,Root Rot,0.66,13575.5,6.73,1,306.79999999999995,High
73,Rice,Loamy,Autumn,29.2,57.6,75.0,128.3,19.9,126.9,Healthy,0.0,4421.3,7.42,0,275.1,Medium
74,Rice,Loamy,Spring,39.3,72.8,82.3,89.2,56.4,198.9,Root Rot,0.61,3478.4,4.29,1,344.5,Medium
75,Potato,Sandy,Autumn,16.6,42.4,75.2,115.8,62.6,186.2,Root Rot,0.85,14795.6,4.23,1,364.6,High
76,Wheat,Silty,Spring,27.4,77.6,27.0,51.3,61.1,85.1,Healthy,0.0,3299.4,5.66,0,197.5,Medium
77,Potato,Sandy,Autumn,37.4,91.4,290.2,51.3,70.3,210.8,Powdery Mildew,0.58,17265.3,6.06,1,332.4,High
78,Wheat,Silty,Autumn,12.7,55.6,79.3,27.3,32.6,199.8,Leaf Blight,0.78,2209.8,4.83,1,259.70000000000005,Low
79,Tomato,Clay,Autumn,37.5,44.4,19.0,125.3,73.2,110.4,Powdery Mildew,0.2,25396.0,6.62,1,308.9,Very High
80,Rice,Loamy,Winter,13.5,45.3,161.3,64.4,32.8,239.9,Healthy,0.0,5102.5,8.48,0,337.1,Medium
81,Potato,Silty,Spring,35.0,70.0,281.7,49.2,56.8,93.5,Root Rot,0.63,15977.0,5.86,1,199.5,High
82,Rice,Loamy,Spring,21.9,42.3,36.6,128.7,39.1,182.6,Powdery Mildew,0.19,4389.6,7.74,1,350.4,Medium
83,Potato,Loamy,Summer,39.7,81.2,61.6,126.2,46.6,167.3,Healthy,0.0,17303.5,9.07,0,340.1,High
84,Rice,Clay,Autumn,35.8,39.4,39.0,45.1,18.1,182.2,Powdery Mildew,0.8,3325.0,3.9,1,245.39999999999998,Medium
85,Wheat,Loamy,Spring,15.2,33.4,222.5,83.7,60.9,145.2,Powdery Mildew,0.81,2180.0,6.73,1,289.79999999999995,Low
86,Potato,Clay,Autumn,23.7,92.7,18.2,77.1,35.1,187.2,Rust,0.2,18421.2,7.0,1,299.4,High
87,Tomato,Loamy,Summer,12.0,47.9,189.9,86.8,29.4,248.9,Healthy,0.0,33593.4,7.65,0,365.1,Very High
88,Tomato,Clay,Summer,22.9,87.7,124.1,125.8,34.9,195.9,Rust,0.64,19636.1,5.3,1,356.6,High
89,Corn,Silty,Spring,12.7,35.5,129.6,114.2,32.9,76.0,Powdery Mildew,0.44,4059.7,4.6,1,223.1,Medium
90,Potato,Loamy,Winter,36.0,76.9,290.5,94.1,31.4,165.6,Rust,0.4,14896.0,5.34,1,291.1,High
91,Tomato,Loamy,Spring,32.9,67.3,242.2,128.3,78.1,213.7,Leaf Blight,0.86,18795.1,5.99,1,420.1,High
92,Potato,Loamy,Spring,15.4,75.7,92.7,57.6,5.5,224.0,Healthy,0.0,20654.0,7.83,0,287.1,Very High
93,Tomato,Clay,Spring,32.4,44.0,125.9,57.7,32.8,194.3,Healthy,0.0,26776.9,8.88,0,284.8,Very High
94,Potato,Sandy,Spring,30.2,47.7,198.6,78.0,38.2,104.6,Rust,0.18,16068.9,8.3,1,220.8,High
95,Wheat,Silty,Autumn,11.4,55.7,179.8,11.1,27.6,92.2,Powdery Mildew,0.49,2631.0,4.85,1,130.9,Low
96,Corn,Silty,Summer,13.9,64.6,69.0,88.2,55.1,120.8,Powdery Mildew,0.4,3937.7,6.15,1,264.1,Medium
97,Wheat,Loamy,Winter,27.2,76.1,125.3,26.1,6.6,115.0,Root Rot,0.12,3753.0,8.68,1,147.7,Medium
98,Potato,Clay,Winter,35.3,45.8,176.7,83.4,34.7,112.1,Root Rot,0.85,14862.3,4.99,1,230.2,High
99,Corn,Sandy,Autumn,20.5,92.3,193.6,30.7,12.7,101.2,Leaf Blight,0.17,5330.9,5.57,1,144.6,Medium
100,Rice,Silty,Winter,32.6,79.4,134.7,139.4,47.3,177.1,Healthy,0.0,4064.1,8.12,0,363.79999999999995,Medium
101,Corn,Loamy,Autumn,27.7,52.9,22.3,74.6,7.8,123.7,Leaf Blight,0.5,4359.0,5.47,1,206.1,Medium
102,Wheat,Clay,Winter,37.3,67.2,56.5,94.7,42.6,241.5,Rust,0.63,2527.3,5.88,1,378.8,Low
103,Corn,Sandy,Spring,17.4,58.5,131.8,83.2,16.9,124.6,Healthy,0.0,5507.5,6.41,0,224.7,Medium
104,Tomato,Loamy,Spring,19.9,66.3,116.0,45.3,68.9,242.9,Powdery Mildew,0.71,18595.4,6.31,1,357.1,High
105,Rice,Loamy,Autumn,39.0,75.4,117.6,93.3,75.4,111.9,Powdery Mildew,0.17,4399.9,6.53,1,280.6,Medium
106,Corn,Clay,Winter,25.3,31.2,92.7,143.2,30.6,203.2,Leaf Blight,0.7,4350.8,4.71,1,377.0,Medium
107,Rice,Clay,Spring,29.9,87.0,185.4,93.6,16.6,86.2,Leaf Blight,0.17,4627.4,8.03,1,196.39999999999998,Medium
108,Potato,Loamy,Summer,39.1,69.7,225.7,119.7,22.6,97.8,Leaf Blight,0.75,12083.5,7.62,1,240.10000000000002,High
109,Tomato,Silty,Winter,33.1,80.6,150.9,68.6,17.2,89.9,Leaf Blight,0.43,28172.0,6.99,1,175.7,Very High
110,Corn,Loamy,Spring,31.3,63.5,37.4,21.7,17.0,139.9,Healthy,0.0,5732.9,7.57,0,178.60000000000002,Medium
111,Tomato,Sandy,Winter,36.5,90.5,124.5,65.5,33.0,127.2,Healthy,0.0,34017.7,5.41,0,225.7,Very High
112,Rice,Clay,Autumn,33.7,38.9,86.1,126.2,57.2,77.8,Healthy,0.0,4255.2,8.53,0,261.2,Medium
113,Tomato,Loamy,Summer,35.0,65.7,218.2,83.9,13.3,107.6,Rust,0.1,25164.5,6.31,1,204.8,Very High
114,Wheat,Silty,Spring,13.3,88.8,179.0,12.3,43.7,98.4,Leaf Blight,0.48,3077.3,4.89,1,154.4,Medium
115,Tomato,Sandy,Winter,15.6,73.4,157.0,60.5,76.5,158.8,Healthy,0.0,31033.3,8.93,0,295.8,Very High
116,Potato,Clay,Winter,39.4,46.5,4.9,120.4,30.9,196.6,Rust,0.12,21172.5,7.85,1,347.9,Very High
117,Potato,Loamy,Summer,34.9,74.5,294.2,77.0,18.7,77.0,Powdery Mildew,0.22,17431.8,8.01,1,172.7,High
118,Tomato,Clay,Summer,36.6,50.5,93.0,65.8,66.2,144.7,Healthy,0.0,28141.0,5.18,0,276.7,Very High
119,Rice,Loamy,Autumn,13.7,53.9,266.8,114.1,72.1,127.3,Powdery Mildew,0.42,4059.4,8.63,1,313.5,Medium
120,Tomato,Loamy,Spring,31.8,35.1,180.7,125.1,45.9,114.2,Root Rot,0.43,27055.4,4.7,1,285.2,Very High
121,Corn,Sandy,Winter,20.5,32.8,261.0,59.4,79.9,104.9,Powdery Mildew,0.5,4687.3,8.42,1,244.20000000000002,Medium
122,Wheat,Silty,Autumn,25.4,78.7,48.0,14.4,68.7,185.6,Healthy,0.0,3679.7,7.19,0,268.7,Medium
123,Rice,Loamy,Autumn,21.5,66.9,181.5,105.1,76.2,124.4,Healthy,0.0,4143.6,8.82,0,305.70000000000005,Medium
124,Potato,Loamy,Summer,38.8,31.7,55.8,82.5,73.5,73.6,Leaf Blight,0.58,14890.1,7.33,1,229.6,High
125,Tomato,Silty,Summer,13.7,85.4,135.6,135.8,38.4,67.6,Leaf Blight,1.0,16842.1,5.89,1,241.8,High
126,Corn,Loamy,Autumn,35.5,76.3,278.2,99.3,64.5,151.8,Powdery Mildew,0.74,3930.1,4.36,1,315.6,Medium
127,Rice,Loamy,Autumn,24.0,93.9,38.9,133.8,9.9,129.6,Leaf Blight,0.31,3934.9,7.79,1,273.3,Medium
128,Tomato,Clay,Summer,39.2,71.8,135.0,105.2,30.8,225.6,Rust,0.47,23698.1,7.65,1,361.6,Very High
129,Potato,Clay,Spring,25.5,49.8,48.6,140.9,21.9,239.5,Leaf Blight,0.79,12157.6,5.79,1,402.3,High
130,Corn,Loamy,Summer,28.8,69.9,28.0,99.7,49.4,166.1,Healthy,0.0,5088.5,5.86,0,315.2,Medium
131,Potato,Clay,Spring,12.4,91.7,231.3,47.1,20.8,164.4,Rust,0.4,18936.6,7.12,1,232.3,High
132,Wheat,Loamy,Winter,17.3,82.5,121.8,73.5,56.6,81.6,Root Rot,0.9,2270.6,5.17,1,211.7,Low
133,Tomato,Loamy,Autumn,39.3,38.5,111.2,88.6,28.9,143.3,Leaf Blight,0.41,22399.0,5.56,1,260.8,Very High
134,Rice,Silty,Winter,17.4,86.2,47.9,55.8,48.3,112.5,Leaf Blight,0.19,3896.3,8.31,1,216.6,Medium
135,Tomato,Silty,Spring,12.7,55.6,137.2,43.7,48.8,59.7,Rust,0.52,26462.1,5.41,1,152.2,Very High
136,Potato,Clay,Winter,14.0,47.2,109.7,66.5,8.4,60.2,Root Rot,0.36,14594.0,6.97,1,135.10000000000002,High
137,Corn,Silty,Autumn,34.8,70.5,183.3,28.0,12.3,124.6,Rust,0.36,4547.5,8.86,1,164.89999999999998,Medium
138,Potato,Silty,Spring,11.4,38.9,99.9,76.3,39.3,171.3,Powdery Mildew,0.78,12517.7,5.8,1,286.9,High
139,Corn,Loamy,Autumn,25.2,63.1,147.0,88.8,40.6,53.3,Rust,0.39,4492.9,5.88,1,182.7,Medium
140,Wheat,Clay,Winter,18.0,72.6,291.6,91.0,22.1,60.3,Root Rot,0.63,2851.1,6.0,1,173.39999999999998,Low
141,Potato,Sandy,Spring,27.2,75.5,57.2,71.7,36.4,132.6,Rust,0.8,13111.2,4.57,1,240.7,High
142,Potato,Clay,Summer,25.6,66.5,299.4,77.0,33.3,241.3,Rust,0.93,13964.8,5.26,1,351.6,High
143,Potato,Loamy,Winter,15.8,46.0,167.4,41.5,78.0,109.5,Powdery Mildew,0.59,16086.2,5.3,1,229.0,High
144,Rice,Loamy,Autumn,13.7,74.0,113.9,147.2,66.4,240.9,Root Rot,0.39,3625.7,7.97,1,454.5,Medium
145,Corn,Clay,Autumn,37.7,72.6,224.2,40.0,67.1,104.2,Healthy,0.0,5149.6,7.81,0,211.3,Medium
146,Corn,Sandy,Summer,11.5,88.8,67.7,42.6,12.5,116.1,Leaf Blight,0.2,5425.7,6.92,1,171.2,Medium
147,Rice,Sandy,Winter,29.6,87.2,142.7,101.1,61.7,107.4,Healthy,0.0,5127.1,6.43,0,270.20000000000005,Medium
148,Wheat,Sandy,Spring,37.4,41.4,264.7,34.6,74.0,249.4,Healthy,0.0,3659.9,6.98,0,358.0,Medium
149,Tomato,Loamy,Spring,10.3,66.9,32.2,147.6,26.3,247.8,Leaf Blight,0.94,21315.3,5.54,1,421.70000000000005,Very High
150,Tomato,Sandy,Spring,19.9,77.5,194.5,110.6,6.1,117.4,Leaf Blight,0.87,19372.3,4.79,1,234.1,High
151,Rice,Silty,Winter,25.5,35.6,200.8,35.9,15.5,114.7,Leaf Blight,0.65,3468.6,5.02,1,166.1,Medium
152,Corn,Loamy,Autumn,27.5,67.2,78.5,60.3,22.7,183.6,Root Rot,0.31,5184.8,6.65,1,266.6,Medium
153,Rice,Loamy,Spring,29.2,91.1,110.3,40.9,76.8,145.6,Root Rot,0.72,3610.7,5.7,1,263.29999999999995,Medium
154,Potato,Silty,Summer,32.9,74.2,178.7,120.2,44.4,155.6,Powdery Mildew,0.47,16479.9,5.85,1,320.2,High
155,Potato,Sandy,Summer,14.9,85.5,132.6,105.2,58.8,147.8,Healthy,0.0,17370.5,9.49,0,311.8,High
156,Tomato,Silty,Winter,26.9,66.3,201.8,53.1,6.6,100.9,Healthy,0.0,29580.9,5.02,0,160.60000000000002,Very High
157,Rice,Clay,Spring,38.0,34.5,280.1,14.4,35.7,203.8,Rust,0.17,4098.0,8.38,1,253.9,Medium
158,Tomato,Silty,Winter,12.4,92.7,262.4,28.6,69.5,73.7,Powdery Mildew,0.99,17481.2,7.0,1,171.8,High
159,Tomato,Clay,Spring,39.4,60.1,215.7,69.4,33.4,95.9,Rust,0.21,31426.6,6.84,1,198.70000000000002,Very High
160,Rice,Clay,Spring,34.3,57.3,229.8,133.7,6.2,91.2,Powdery Mildew,0.27,4465.8,5.06,1,231.09999999999997,Medium
161,Wheat,Clay,Summer,32.2,56.1,70.3,40.4,69.8,61.3,Root Rot,0.64,2762.8,6.08,1,171.5,Low
162,Corn,Loamy,Autumn,17.1,87.0,295.7,83.0,36.0,105.0,Leaf Blight,0.83,3929.2,5.85,1,224.0,Medium
163,Potato,Silty,Spring,39.2,91.2,201.4,120.0,28.9,133.3,Leaf Blight,0.66,14398.5,4.61,1,282.20000000000005,High
164,Tomato,Sandy,Autumn,35.7,39.4,138.9,18.1,36.0,133.3,Leaf Blight,0.78,20476.0,5.86,1,187.4,Very High
165,Tomato,Clay,Winter,35.4,36.0,217.4,36.7,25.1,184.7,Leaf Blight,0.33,24714.0,7.22,1,246.5,Very High
166,Wheat,Sandy,Winter,16.3,89.0,91.0,137.3,20.9,88.0,Leaf Blight,0.82,2413.8,6.57,1,246.20000000000002,Low
167,Tomato,Silty,Summer,26.6,80.4,114.2,84.7,31.9,102.3,Leaf Blight,0.73,22538.4,5.91,1,218.89999999999998,Very High
168,Tomato,Silty,Autumn,37.4,54.1,124.2,88.8,21.6,79.2,Root Rot,0.19,31722.6,5.94,1,189.60000000000002,Very High
169,Potato,Sandy,Autumn,16.9,67.0,73.7,87.1,75.8,117.5,Rust,0.75,13139.8,6.83,1,280.4,High
170,Tomato,Loamy,Summer,14.2,65.5,55.2,134.5,79.3,241.4,Root Rot,0.51,25547.6,6.45,1,455.20000000000005,Very High
171,Wheat,Silty,Summer,35.3,45.0,212.2,11.3,42.9,124.6,Healthy,0.0,3777.6,8.09,0,178.8,Medium
172,Potato,Silty,Spring,10.5,76.9,160.7,50.1,42.7,189.6,Root Rot,0.69,12376.3,5.67,1,282.4,High
173,Rice,Sandy,Summer,15.8,64.2,244.6,47.4,34.8,124.6,Healthy,0.0,5064.4,7.03,0,206.79999999999998,Medium
174,Potato,Clay,Spring,12.8,54.7,165.8,17.9,5.7,84.3,Leaf Blight,0.99,11086.5,5.27,1,107.89999999999999,High
175,Tomato,Clay,Spring,16.9,88.6,207.7,89.3,25.3,234.8,Powdery Mildew,0.61,25115.6,6.88,1,349.4,Very High
176,Corn,Loamy,Spring,38.8,68.2,225.7,109.8,34.9,65.4,Rust,0.61,3575.3,4.75,1,210.1,Medium
177,Rice,Loamy,Winter,32.7,39.1,296.5,111.4,42.6,244.9,Rust,0.85,2871.2,3.93,1,398.9,Low
178,Tomato,Silty,Autumn,10.9,47.8,297.8,78.7,31.7,238.2,Leaf Blight,0.85,18853.1,5.33,1,348.6,High
179,Potato,Sandy,Spring,12.5,40.0,213.5,98.7,60.5,113.3,Root Rot,0.18,19220.5,5.23,1,272.5,High
180,Wheat,Clay,Summer,12.6,58.0,167.1,81.7,12.7,67.9,Powdery Mildew,0.5,3019.5,6.61,1,162.3,Medium
181,Potato,Clay,Autumn,22.4,80.6,217.5,88.3,79.5,98.5,Rust,0.81,14995.2,5.76,1,266.3,High
182,Tomato,Silty,Summer,11.9,58.3,126.3,77.8,10.8,100.3,Leaf Blight,0.22,25727.7,5.82,1,188.89999999999998,Very High
183,Tomato,Sandy,Autumn,10.2,55.7,252.5,63.2,69.7,138.0,Rust,0.66,21800.9,5.74,1,270.9,Very High
184,Potato,Sandy,Winter,19.4,92.7,290.6,50.8,57.1,148.2,Leaf Blight,0.37,17567.6,7.0,1,256.1,High
185,Rice,Silty,Autumn,13.4,66.7,177.7,86.4,56.1,160.0,Powdery Mildew,0.44,4060.1,8.48,1,302.5,Medium
186,Tomato,Clay,Winter,30.2,39.0,90.8,45.4,16.6,134.6,Leaf Blight,0.49,22610.1,5.87,1,196.6,Very High
187,Tomato,Silty,Spring,33.7,53.4,268.7,85.2,52.9,67.0,Rust,0.53,22936.5,7.44,1,205.1,Very High
188,Corn,Silty,Autumn,39.0,58.0,3.2,46.2,43.3,153.8,Leaf Blight,0.68,3456.6,6.29,1,243.3,Medium
189,Potato,Sandy,Autumn,39.9,61.4,88.6,138.9,11.4,216.3,Leaf Blight,0.5,15477.4,7.35,1,366.6,High
190,Corn,Silty,Autumn,24.3,58.5,209.0,54.6,27.5,212.0,Powdery Mildew,0.41,4990.1,4.89,1,294.1,Medium
191,Corn,Sandy,Summer,25.5,65.9,99.3,69.7,39.7,209.6,Healthy,0.0,5792.3,8.15,0,319.0,Medium
192,Rice,Sandy,Winter,27.8,55.3,211.4,38.8,61.4,211.7,Root Rot,0.46,3933.5,4.58,1,311.9,Medium
193,Wheat,Silty,Spring,17.9,86.1,158.3,99.5,49.8,172.3,Rust,0.27,2959.0,7.29,1,321.6,Low
194,Corn,Loamy,Spring,30.2,50.4,71.6,26.4,33.0,78.3,Powdery Mildew,0.86,3735.0,5.15,1,137.7,Medium
195,Potato,Silty,Summer,26.6,61.8,42.1,54.0,38.8,60.7,Leaf Blight,0.62,14692.8,5.53,1,153.5,High
196,Wheat,Silty,Winter,30.5,57.0,252.0,78.4,11.2,56.2,Root Rot,0.22,3493.9,8.22,1,145.8,Medium
197,Corn,Loamy,Summer,33.4,66.8,231.8,79.3,43.3,164.5,Healthy,0.0,5128.5,6.34,0,287.1,Medium
198,Potato,Silty,Summer,39.7,36.7,249.0,115.2,27.3,249.9,Powdery Mildew,0.59,16457.1,5.97,1,392.4,High
199,Corn,Clay,Summer,16.3,77.9,206.7,130.5,50.8,135.6,Healthy,0.0,5399.5,8.08,0,316.9,Medium
200,Rice,Loamy,Summer,19.7,75.8,86.8,47.4,69.4,247.1,Leaf Blight,0.82,3087.6,6.33,1,363.9,Medium
